x,y,z,eta_at,eta_cos,eta_ref,eta_sb,eta_trunc,eta
60.684000,105.107000,4.000000,0.976774,0.830307,0.920000,0.868889,0.477826,0.309780
49.917000,110.627000,4.000000,0.976774,0.852997,0.920000,0.956667,0.495171,0.363116
38.654000,115.048000,4.000000,0.976774,0.874257,0.920000,1.000000,0.496360,0.389958
27.007000,118.325000,4.000000,0.976774,0.893986,0.920000,1.000000,0.496049,0.398508
15.091000,120.426000,4.000000,0.976774,0.912093,0.920000,1.000000,0.495744,0.406329
3.026000,121.330000,4.000000,0.976774,0.928496,0.920000,1.000000,0.495453,0.413394
-9.070000,121.028000,4.000000,0.976774,0.943127,0.920000,0.981111,0.494643,0.411304
-21.075000,119.524000,4.000000,0.976774,0.955924,0.920000,0.965278,0.493808,0.409464
-32.871000,116.831000,4.000000,0.976774,0.966836,0.920000,0.953889,0.493820,0.409262
-44.341000,112.978000,4.000000,0.976774,0.975819,0.920000,0.953889,0.493760,0.413014
-55.369000,108.002000,4.000000,0.976774,0.982836,0.920000,0.947500,0.492357,0.412024
-65.848000,101.952000,4.000000,0.976774,0.987862,0.920000,0.932222,0.490500,0.405916
-75.671000,94.889000,4.000000,0.976774,0.990876,0.920000,0.916667,0.488028,0.398343
-84.743000,86.883000,4.000000,0.976774,0.991868,0.920000,0.901944,0.484169,0.389235
-92.973000,78.014000,4.000000,0.976774,0.990833,0.920000,0.888889,0.480699,0.380455
-100.279000,68.369000,4.000000,0.976774,0.987775,0.920000,0.878889,0.477817,0.372765
-106.588000,58.045000,4.000000,0.976774,0.982707,0.920000,0.866667,0.473281,0.362224
-111.837000,47.143000,4.000000,0.976774,0.975646,0.920000,0.860000,0.473432,0.356969
-115.976000,35.774000,4.000000,0.976774,0.966623,0.920000,0.856667,0.477032,0.354975
-118.961000,24.049000,4.000000,0.976774,0.955671,0.920000,0.871111,0.485035,0.362858
-120.764000,12.084000,4.000000,0.976774,0.942833,0.920000,0.893611,0.490449,0.371329
-121.368000,0.000000,4.000000,0.976774,0.928163,0.920000,0.958056,0.494178,0.394894
-120.764000,-12.084000,4.000000,0.976774,0.911723,0.920000,1.000000,0.495751,0.406170
-118.961000,-24.049000,4.000000,0.976774,0.893580,0.920000,1.000000,0.496056,0.398333
-115.976000,-35.774000,4.000000,0.976774,0.873818,0.920000,1.000000,0.496367,0.389767
-111.837000,-47.143000,4.000000,0.976774,0.852527,0.920000,1.000000,0.496680,0.380511
-106.588000,-58.045000,4.000000,0.976774,0.829807,0.920000,1.000000,0.496985,0.370597
-100.279000,-68.369000,4.000000,0.976774,0.805776,0.920000,1.000000,0.497288,0.360084
-92.973000,-78.014000,4.000000,0.976774,0.780560,0.920000,1.000000,0.497576,0.349018
-84.743000,-86.883000,4.000000,0.976774,0.754308,0.920000,1.000000,0.497850,0.337465
-75.671000,-94.889000,4.000000,0.976774,0.727179,0.920000,1.000000,0.498105,0.325495
